State,District,Disease,YearMonth,Year,Month,Cases,Cases_Lag1,Cases_Lag2,Cases_Lag3,Target_Cases,Risk,Rolling_Sum,State_Enc,District_Enc,Disease_Enc,Target_Enc
Andaman & Nicobar Islands,South Andaman’S,Acute Diarrheal Disease,2023-08,2023,8,18.0,0.0,0.0,0.0,0.0,None,18.0,0,444,0,3
Andaman & Nicobar Islands,South Andaman’S,Acute Diarrheal Disease,2023-09,2023,9,0.0,18.0,0.0,0.0,0.0,None,18.0,0,444,0,3
Andaman & Nicobar Islands,South Andaman’S,Acute Diarrheal Disease,2023-10,2023,10,0.0,0.0,18.0,0.0,0.0,None,18.0,0,444,0,3
Andaman And Nicobar Islands,South Andaman,Acute Diarrheal Disease,2022-09,2022,9,23.0,0.0,0.0,0.0,0.0,None,23.0,1,443,0,3
Andaman And Nicobar Islands,South Andaman,Acute Diarrheal Disease,2022-10,2022,10,0.0,23.0,0.0,0.0,0.0,None,23.0,1,443,0,3
Andaman And Nicobar Islands,South Andaman,Acute Diarrheal Disease,2022-11,2022,11,0.0,0.0,23.0,0.0,0.0,None,23.0,1,443,0,3
Andhra Pradesh,Ananthapur,Food Poisoning,2021-03,2021,3,5.0,0.0,0.0,0.0,0.0,None,5.0,2,15,19,3
Andhra Pradesh,Ananthapur,Food Poisoning,2021-04,2021,4,0.0,5.0,0.0,0.0,0.0,None,5.0,2,15,19,3
Andhra Pradesh,Ananthapur,Food Poisoning,2021-05,2021,5,0.0,0.0,5.0,0.0,0.0,None,5.0,2,15,19,3
Andhra Pradesh,Eluru,Acute Diarrheal Disease,2023-08,2023,8,93.0,0.0,0.0,0.0,0.0,None,93.0,2,150,0,3
Andhra Pradesh,Eluru,Acute Diarrheal Disease,2023-09,2023,9,0.0,93.0,0.0,0.0,0.0,None,93.0,2,150,0,3
Andhra Pradesh,Eluru,Acute Diarrheal Disease,2023-10,2023,10,0.0,0.0,93.0,0.0,0.0,None,93.0,2,150,0,3
Andhra Pradesh,Krishna,Acute Diarrheal Disease,2022-04,2022,4,30.0,0.0,0.0,0.0,0.0,None,30.0,2,275,0,3
Andhra Pradesh,Krishna,Acute Diarrheal Disease,2022-05,2022,5,0.0,30.0,0.0,0.0,0.0,None,30.0,2,275,0,3
Andhra Pradesh,Krishna,Acute Diarrheal Disease,2022-06,2022,6,0.0,0.0,30.0,0.0,0.0,None,30.0,2,275,0,3
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,2023-08,2023,8,27.0,0.0,0.0,0.0,127.0,High,27.0,2,330,0,0
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,2023-09,2023,9,127.0,27.0,0.0,0.0,0.0,None,154.0,2,330,0,3
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,2023-10,2023,10,0.0,127.0,27.0,0.0,0.0,None,154.0,2,330,0,3
Andhra Pradesh,Nandyal,Food Poisoning,2022-05,2022,5,13.0,0.0,0.0,0.0,0.0,None,13.0,2,330,19,3
Andhra Pradesh,Nandyal,Food Poisoning,2022-06,2022,6,0.0,13.0,0.0,0.0,0.0,None,13.0,2,330,19,3
Andhra Pradesh,Nandyal,Food Poisoning,2022-07,2022,7,0.0,0.0,13.0,0.0,0.0,None,13.0,2,330,19,3
Andhra Pradesh,Ntr,Acute Diarrheal Disease,2023-03,2023,3,22.0,0.0,0.0,0.0,0.0,None,22.0,2,341,0,3
Andhra Pradesh,Ntr,Acute Diarrheal Disease,2023-04,2023,4,0.0,22.0,0.0,0.0,0.0,None,22.0,2,341,0,3
Andhra Pradesh,Ntr,Acute Diarrheal Disease,2023-05,2023,5,0.0,0.0,22.0,0.0,0.0,None,22.0,2,341,0,3
Andhra Pradesh,Prakasam,Rabies,2021-01,2021,1,1.0,0.0,0.0,0.0,0.0,None,1.0,2,369,35,3
Andhra Pradesh,Prakasam,Rabies,2021-02,2021,2,0.0,1.0,0.0,0.0,0.0,None,1.0,2,369,35,3
Andhra Pradesh,Prakasam,Rabies,2021-03,2021,3,0.0,0.0,1.0,0.0,0.0,None,1.0,2,369,35,3
Andhra Pradesh,Tirupati,Acute Diarrheal Disease,2023-09,2023,9,143.0,0.0,0.0,0.0,0.0,None,143.0,2,478,0,3
Andhra Pradesh,Tirupati,Acute Diarrheal Disease,2023-10,2023,10,0.0,143.0,0.0,0.0,0.0,None,143.0,2,478,0,3
Andhra Pradesh,Visakhapatan Am,Food Poisoning,2023-10,2023,10,13.0,0.0,0.0,0.0,0.0,None,13.0,2,514,19,3
Andhra Pradesh,West Godavari,Convulsions Of Unknown Cause,2021-01,2021,1,29.0,0.0,0.0,0.0,0.0,None,29.0,2,523,11,3
Andhra Pradesh,West Godavari,Convulsions Of Unknown Cause,2021-02,2021,2,0.0,29.0,0.0,0.0,0.0,None,29.0,2,523,11,3
Andhra Pradesh,West Godavari,Convulsions Of Unknown Cause,2021-03,2021,3,0.0,0.0,29.0,0.0,0.0,None,29.0,2,523,11,3
Andhra Pradesh,Ysr Kadapa,Dengue,2022-08,2022,8,4.0,0.0,0.0,0.0,0.0,None,4.0,2,534,13,3
Andhra Pradesh,Ysr Kadapa,Dengue,2022-09,2022,9,0.0,4.0,0.0,0.0,0.0,None,4.0,2,534,13,3
Andhra Pradesh,Ysr Kadapa,Dengue,2022-10,2022,10,0.0,0.0,4.0,0.0,0.0,None,4.0,2,534,13,3
Arunachal Pradesh,Changlang,Acute Diarrheal Disease,2023-09,2023,9,94.0,0.0,0.0,0.0,0.0,None,94.0,3,92,0,3
Arunachal Pradesh,Changlang,Acute Diarrheal Disease,2023-10,2023,10,0.0,94.0,0.0,0.0,0.0,None,94.0,3,92,0,3
Arunachal Pradesh,Kamle,Scrub Typhus,2022-05,2022,5,2.0,0.0,0.0,0.0,0.0,None,2.0,3,234,37,3
Arunachal Pradesh,Kamle,Scrub Typhus,2022-06,2022,6,0.0,2.0,0.0,0.0,0.0,None,2.0,3,234,37,3
Arunachal Pradesh,Kamle,Scrub Typhus,2022-07,2022,7,0.0,0.0,2.0,0.0,0.0,None,2.0,3,234,37,3
Arunachal Pradesh,Kra Daadi,Acute Diarrheal Disease,2022-07,2022,7,20.0,0.0,0.0,0.0,0.0,None,20.0,3,274,0,3
Arunachal Pradesh,Kra Daadi,Acute Diarrheal Disease,2022-08,2022,8,0.0,20.0,0.0,0.0,0.0,None,20.0,3,274,0,3
Arunachal Pradesh,Kra Daadi,Acute Diarrheal Disease,2022-09,2022,9,0.0,0.0,20.0,0.0,0.0,None,20.0,3,274,0,3
Arunachal Pradesh,Lohit,Acute Diarrheal Disease,2022-10,2022,10,116.0,0.0,0.0,0.0,0.0,None,116.0,3,285,0,3
Arunachal Pradesh,Lohit,Acute Diarrheal Disease,2022-11,2022,11,0.0,116.0,0.0,0.0,0.0,None,116.0,3,285,0,3
Arunachal Pradesh,Lohit,Acute Diarrheal Disease,2022-12,2022,12,0.0,0.0,116.0,0.0,0.0,None,116.0,3,285,0,3
Arunachal Pradesh,Lower Dibang Valley,Rabies,2023-09,2023,9,1.0,0.0,0.0,0.0,0.0,None,1.0,3,287,35,3
Arunachal Pradesh,Lower Dibang Valley,Rabies,2023-10,2023,10,0.0,1.0,0.0,0.0,0.0,None,1.0,3,287,35,3
Arunachal Pradesh,Lower Subansiri,Chickenpox,2023-06,2023,6,17.0,0.0,0.0,0.0,0.0,None,17.0,3,288,8,3
Arunachal Pradesh,Lower Subansiri,Chickenpox,2023-07,2023,7,0.0,17.0,0.0,0.0,0.0,None,17.0,3,288,8,3
Arunachal Pradesh,Lower Subansiri,Chickenpox,2023-08,2023,8,0.0,0.0,17.0,0.0,0.0,None,17.0,3,288,8,3
Arunachal Pradesh,Papum Pare,Rabies,2023-09,2023,9,1.0,0.0,0.0,0.0,4.0,Low,1.0,3,353,35,1
Arunachal Pradesh,Papum Pare,Rabies,2023-10,2023,10,4.0,1.0,0.0,0.0,0.0,None,5.0,3,353,35,3
Arunachal Pradesh,Papumpare,Scrub Typhus,2023-08,2023,8,7.0,0.0,0.0,0.0,0.0,None,7.0,3,354,37,3
Arunachal Pradesh,Papumpare,Scrub Typhus,2023-09,2023,9,0.0,7.0,0.0,0.0,34.0,Medium,7.0,3,354,37,2
Arunachal Pradesh,Papumpare,Scrub Typhus,2023-10,2023,10,34.0,0.0,7.0,0.0,0.0,None,41.0,3,354,37,3
Arunachal Pradesh,Tawang,Scrub Typhus,2023-08,2023,8,5.0,0.0,0.0,0.0,0.0,None,5.0,3,463,37,3
Arunachal Pradesh,Tawang,Scrub Typhus,2023-09,2023,9,0.0,5.0,0.0,0.0,0.0,None,5.0,3,463,37,3
Arunachal Pradesh,Tawang,Scrub Typhus,2023-10,2023,10,0.0,0.0,5.0,0.0,0.0,None,5.0,3,463,37,3
Arunachal Pradesh,West Kameng,Acute Diarrheal Disease,2022-05,2022,5,37.0,0.0,0.0,0.0,0.0,None,37.0,3,525,0,3
Arunachal Pradesh,West Kameng,Acute Diarrheal Disease,2022-06,2022,6,0.0,37.0,0.0,0.0,0.0,None,37.0,3,525,0,3
Arunachal Pradesh,West Kameng,Acute Diarrheal Disease,2022-07,2022,7,0.0,0.0,37.0,0.0,0.0,None,37.0,3,525,0,3
Arunachal Pradesh,West Siang,Food Poisoning,2022-05,2022,5,3.0,0.0,0.0,0.0,0.0,None,3.0,3,527,19,3
Arunachal Pradesh,West Siang,Food Poisoning,2022-06,2022,6,0.0,3.0,0.0,0.0,0.0,None,3.0,3,527,19,3
Arunachal Pradesh,West Siang,Food Poisoning,2022-07,2022,7,0.0,0.0,3.0,0.0,0.0,None,3.0,3,527,19,3
Assam,Baksa,Acute Diarrheal Disease,2022-05,2022,5,15.0,0.0,0.0,0.0,0.0,None,15.0,4,28,0,3
Assam,Baksa,Acute Diarrheal Disease,2022-06,2022,6,0.0,15.0,0.0,0.0,0.0,None,15.0,4,28,0,3
Assam,Baksa,Acute Diarrheal Disease,2022-07,2022,7,0.0,0.0,15.0,0.0,0.0,None,15.0,4,28,0,3
Assam,Baksa,Food Poisoning,2023-09,2023,9,45.0,0.0,0.0,0.0,0.0,None,45.0,4,28,19,3
Assam,Baksa,Food Poisoning,2023-10,2023,10,0.0,45.0,0.0,0.0,0.0,None,45.0,4,28,19,3
Assam,Barpeta,Acute Diarrheal Disease,2023-03,2023,3,22.0,0.0,0.0,0.0,0.0,None,22.0,4,48,0,3
Assam,Barpeta,Acute Diarrheal Disease,2023-04,2023,4,0.0,22.0,0.0,0.0,0.0,None,22.0,4,48,0,3
Assam,Barpeta,Acute Diarrheal Disease,2023-05,2023,5,0.0,0.0,22.0,0.0,0.0,None,22.0,4,48,0,3
Assam,Bongaigaon,Encephalitis Sydrome / Je,2022-08,2022,8,2.0,0.0,0.0,0.0,0.0,None,2.0,4,77,15,3
Assam,Bongaigaon,Encephalitis Sydrome / Je,2022-09,2022,9,0.0,2.0,0.0,0.0,0.0,None,2.0,4,77,15,3
Assam,Bongaigaon,Encephalitis Sydrome / Je,2022-10,2022,10,0.0,0.0,2.0,0.0,0.0,None,2.0,4,77,15,3
Assam,Bongaigaon,Encephalitis Sydrome / Je,2023-05,2023,5,1.0,0.0,0.0,0.0,0.0,None,1.0,4,77,15,3
Assam,Bongaigaon,Encephalitis Sydrome / Je,2023-06,2023,6,0.0,1.0,0.0,0.0,0.0,None,1.0,4,77,15,3
Assam,Bongaigaon,Encephalitis Sydrome / Je,2023-07,2023,7,0.0,0.0,1.0,0.0,0.0,None,1.0,4,77,15,3
Assam,Bongaigaon,Food Poisoning,2022-06,2022,6,39.0,0.0,0.0,0.0,0.0,None,39.0,4,77,19,3
Assam,Bongaigaon,Food Poisoning,2022-07,2022,7,0.0,39.0,0.0,0.0,0.0,None,39.0,4,77,19,3
Assam,Bongaigaon,Food Poisoning,2022-08,2022,8,0.0,0.0,39.0,0.0,0.0,None,39.0,4,77,19,3
Assam,Cachar,Chickenpox,2022-05,2022,5,5.0,0.0,0.0,0.0,0.0,None,5.0,4,84,8,3
Assam,Cachar,Chickenpox,2022-06,2022,6,0.0,5.0,0.0,0.0,0.0,None,5.0,4,84,8,3
Assam,Cachar,Chickenpox,2022-07,2022,7,0.0,0.0,5.0,0.0,0.0,None,5.0,4,84,8,3
Assam,Cachar,Encephalitis Sydrome / Je,2023-08,2023,8,1.0,0.0,0.0,0.0,0.0,None,1.0,4,84,15,3
Assam,Cachar,Encephalitis Sydrome / Je,2023-09,2023,9,0.0,1.0,0.0,0.0,0.0,None,1.0,4,84,15,3
Assam,Cachar,Encephalitis Sydrome / Je,2023-10,2023,10,0.0,0.0,1.0,0.0,0.0,None,1.0,4,84,15,3
Assam,Cachar,Rabies,2023-05,2023,5,1.0,0.0,0.0,0.0,0.0,None,1.0,4,84,35,3
Assam,Cachar,Rabies,2023-06,2023,6,0.0,1.0,0.0,0.0,0.0,None,1.0,4,84,35,3
Assam,Cachar,Rabies,2023-07,2023,7,0.0,0.0,1.0,0.0,0.0,None,1.0,4,84,35,3
Assam,Charaideo,Acute Diarrheal Disease,2023-09,2023,9,36.0,0.0,0.0,0.0,0.0,None,36.0,4,93,0,3
Assam,Charaideo,Acute Diarrheal Disease,2023-10,2023,10,0.0,36.0,0.0,0.0,0.0,None,36.0,4,93,0,3
Assam,Charaideo,Food Poisoning,2023-06,2023,6,7.0,0.0,0.0,0.0,0.0,None,7.0,4,93,19,3
Assam,Charaideo,Food Poisoning,2023-07,2023,7,0.0,7.0,0.0,0.0,0.0,None,7.0,4,93,19,3
Assam,Charaideo,Food Poisoning,2023-08,2023,8,0.0,0.0,7.0,0.0,0.0,None,7.0,4,93,19,3
Assam,Darrang,Acute Diarrheal Disease,2023-08,2023,8,78.0,0.0,0.0,0.0,0.0,None,78.0,4,117,0,3
Assam,Darrang,Acute Diarrheal Disease,2023-09,2023,9,0.0,78.0,0.0,0.0,0.0,None,78.0,4,117,0,3
Assam,Darrang,Acute Diarrheal Disease,2023-10,2023,10,0.0,0.0,78.0,0.0,0.0,None,78.0,4,117,0,3
Assam,Dhemaji,Acute Diarrheal Disease,2023-08,2023,8,7.0,0.0,0.0,0.0,134.0,High,7.0,4,132,0,0
Assam,Dhemaji,Acute Diarrheal Disease,2023-09,2023,9,134.0,7.0,0.0,0.0,0.0,None,141.0,4,132,0,3
Assam,Dhemaji,Acute Diarrheal Disease,2023-10,2023,10,0.0,134.0,7.0,0.0,0.0,None,141.0,4,132,0,3
Assam,Dhemaji,Food Poisoning,2023-06,2023,6,20.0,0.0,0.0,0.0,0.0,None,20.0,4,132,19,3
Assam,Dhemaji,Food Poisoning,2023-07,2023,7,0.0,20.0,0.0,0.0,77.0,Medium,20.0,4,132,19,2
Assam,Dhemaji,Food Poisoning,2023-08,2023,8,77.0,0.0,20.0,0.0,0.0,None,97.0,4,132,19,3
Assam,Dhemaji,Food Poisoning,2023-09,2023,9,0.0,77.0,0.0,20.0,0.0,None,77.0,4,132,19,3
Assam,Dhemaji,Food Poisoning,2023-10,2023,10,0.0,0.0,77.0,0.0,0.0,None,77.0,4,132,19,3
Assam,Dibrugarh,Acute Diarrheal Disease,2022-06,2022,6,18.0,0.0,0.0,0.0,0.0,None,18.0,4,138,0,3
Assam,Dibrugarh,Acute Diarrheal Disease,2022-07,2022,7,0.0,18.0,0.0,0.0,0.0,None,18.0,4,138,0,3
Assam,Dibrugarh,Acute Diarrheal Disease,2022-08,2022,8,0.0,0.0,18.0,0.0,0.0,None,18.0,4,138,0,3
Assam,Dibrugarh,Chickenpox,2023-06,2023,6,22.0,0.0,0.0,0.0,0.0,None,22.0,4,138,8,3
Assam,Dibrugarh,Chickenpox,2023-07,2023,7,0.0,22.0,0.0,0.0,0.0,None,22.0,4,138,8,3
Assam,Dibrugarh,Chickenpox,2023-08,2023,8,0.0,0.0,22.0,0.0,5.0,Low,22.0,4,138,8,1
Assam,Dibrugarh,Chickenpox,2023-09,2023,9,5.0,0.0,0.0,22.0,0.0,None,5.0,4,138,8,3
Assam,Dibrugarh,Chickenpox,2023-10,2023,10,0.0,5.0,0.0,0.0,0.0,None,5.0,4,138,8,3
Assam,Dibrugarh,Food Poisoning,2023-06,2023,6,15.0,0.0,0.0,0.0,0.0,None,15.0,4,138,19,3
Assam,Dibrugarh,Food Poisoning,2023-07,2023,7,0.0,15.0,0.0,0.0,0.0,None,15.0,4,138,19,3
Assam,Dibrugarh,Food Poisoning,2023-08,2023,8,0.0,0.0,15.0,0.0,0.0,None,15.0,4,138,19,3
Assam,Dibrugarh,Measles,2023-09,2023,9,27.0,0.0,0.0,0.0,0.0,None,27.0,4,138,28,3
Assam,Dibrugarh,Measles,2023-10,2023,10,0.0,27.0,0.0,0.0,0.0,None,27.0,4,138,28,3
Assam,Dibrugarh,Rabies,2023-02,2023,2,1.0,0.0,0.0,0.0,0.0,None,1.0,4,138,35,3
Assam,Dibrugarh,Rabies,2023-03,2023,3,0.0,1.0,0.0,0.0,0.0,None,1.0,4,138,35,3
Assam,Dibrugarh,Rabies,2023-04,2023,4,0.0,0.0,1.0,0.0,0.0,None,1.0,4,138,35,3
Assam,Goalpara,Acute Diarrheal Disease,2022-09,2022,9,4.0,0.0,0.0,0.0,0.0,None,4.0,4,172,0,3
Assam,Goalpara,Acute Diarrheal Disease,2022-10,2022,10,0.0,4.0,0.0,0.0,0.0,None,4.0,4,172,0,3
Assam,Goalpara,Acute Diarrheal Disease,2022-11,2022,11,0.0,0.0,4.0,0.0,0.0,None,4.0,4,172,0,3
Assam,Goalpara,Acute Diarrheal Disease,2023-09,2023,9,60.0,0.0,0.0,0.0,0.0,None,60.0,4,172,0,3
Assam,Goalpara,Acute Diarrheal Disease,2023-10,2023,10,0.0,60.0,0.0,0.0,0.0,None,60.0,4,172,0,3
Assam,Goalpara,Food Poisoning,2023-08,2023,8,3.0,0.0,0.0,0.0,0.0,None,3.0,4,172,19,3
Assam,Goalpara,Food Poisoning,2023-09,2023,9,0.0,3.0,0.0,0.0,0.0,None,3.0,4,172,19,3
Assam,Goalpara,Food Poisoning,2023-10,2023,10,0.0,0.0,3.0,0.0,0.0,None,3.0,4,172,19,3
Assam,Golaghat,Acute Diarrheal Disease,2023-09,2023,9,30.0,0.0,0.0,0.0,0.0,None,30.0,4,174,0,3
Assam,Golaghat,Acute Diarrheal Disease,2023-10,2023,10,0.0,30.0,0.0,0.0,0.0,None,30.0,4,174,0,3
Assam,Jorhat,Encephalitis Sydrome / Je,2023-05,2023,5,2.0,0.0,0.0,0.0,0.0,None,2.0,4,226,15,3
Assam,Jorhat,Encephalitis Sydrome / Je,2023-06,2023,6,0.0,2.0,0.0,0.0,0.0,None,2.0,4,226,15,3
Assam,Jorhat,Encephalitis Sydrome / Je,2023-07,2023,7,0.0,0.0,2.0,0.0,0.0,None,2.0,4,226,15,3
Assam,Jorhat,Food Poisoning,2023-08,2023,8,148.0,0.0,0.0,0.0,0.0,None,148.0,4,226,19,3
Assam,Jorhat,Food Poisoning,2023-09,2023,9,0.0,148.0,0.0,0.0,0.0,None,148.0,4,226,19,3
Assam,Jorhat,Food Poisoning,2023-10,2023,10,0.0,0.0,148.0,0.0,0.0,None,148.0,4,226,19,3
Assam,Jorhat,Rubella,2021-03,2021,3,1.0,0.0,0.0,0.0,0.0,None,1.0,4,226,36,3
Assam,Jorhat,Rubella,2021-04,2021,4,0.0,1.0,0.0,0.0,0.0,None,1.0,4,226,36,3
Assam,Jorhat,Rubella,2021-05,2021,5,0.0,0.0,1.0,0.0,0.0,None,1.0,4,226,36,3
Assam,Kamrup,Acute Diarrheal Disease,2023-08,2023,8,24.0,0.0,0.0,0.0,0.0,None,24.0,4,235,0,3
Assam,Kamrup,Acute Diarrheal Disease,2023-09,2023,9,0.0,24.0,0.0,0.0,0.0,None,24.0,4,235,0,3
Assam,Kamrup,Acute Diarrheal Disease,2023-10,2023,10,0.0,0.0,24.0,0.0,0.0,None,24.0,4,235,0,3
Assam,Kamrup,Food Poisoning,2022-09,2022,9,34.0,0.0,0.0,0.0,0.0,None,34.0,4,235,19,3
Assam,Kamrup,Food Poisoning,2022-10,2022,10,0.0,34.0,0.0,0.0,0.0,None,34.0,4,235,19,3
Assam,Kamrup,Food Poisoning,2022-11,2022,11,0.0,0.0,34.0,0.0,0.0,None,34.0,4,235,19,3
Assam,Karbi Anglong,Acute Diarrheal Disease,2022-06,2022,6,54.0,0.0,0.0,0.0,0.0,None,54.0,4,245,0,3
Assam,Karbi Anglong,Acute Diarrheal Disease,2022-07,2022,7,0.0,54.0,0.0,0.0,0.0,None,54.0,4,245,0,3
Assam,Karbi Anglong,Acute Diarrheal Disease,2022-08,2022,8,0.0,0.0,54.0,0.0,0.0,None,54.0,4,245,0,3
Assam,Karbi Anglong,Acute Diarrheal Disease,2023-05,2023,5,15.0,0.0,0.0,0.0,0.0,None,15.0,4,245,0,3
Assam,Karbi Anglong,Acute Diarrheal Disease,2023-06,2023,6,0.0,15.0,0.0,0.0,0.0,None,15.0,4,245,0,3
Assam,Karbi Anglong,Acute Diarrheal Disease,2023-07,2023,7,0.0,0.0,15.0,0.0,14.0,Low,15.0,4,245,0,1
Assam,Karbi Anglong,Acute Diarrheal Disease,2023-08,2023,8,14.0,0.0,0.0,15.0,0.0,None,14.0,4,245,0,3
Assam,Karbi Anglong,Acute Diarrheal Disease,2023-09,2023,9,0.0,14.0,0.0,0.0,0.0,None,14.0,4,245,0,3
Assam,Karbi Anglong,Acute Diarrheal Disease,2023-10,2023,10,0.0,0.0,14.0,0.0,0.0,None,14.0,4,245,0,3
Assam,Karbi Anglong,Dengue,2023-09,2023,9,23.0,0.0,0.0,0.0,0.0,None,23.0,4,245,13,3
Assam,Karbi Anglong,Dengue,2023-10,2023,10,0.0,23.0,0.0,0.0,0.0,None,23.0,4,245,13,3
Assam,Karbi Anglong,Rabies,2023-05,2023,5,1.0,0.0,0.0,0.0,0.0,None,1.0,4,245,35,3
Assam,Karbi Anglong,Rabies,2023-06,2023,6,0.0,1.0,0.0,0.0,0.0,None,1.0,4,245,35,3
Assam,Karbi Anglong,Rabies,2023-07,2023,7,0.0,0.0,1.0,0.0,0.0,None,1.0,4,245,35,3
Assam,Karbianglog (Diphu),Food Poisoning,2021-02,2021,2,202.0,0.0,0.0,0.0,0.0,None,202.0,4,246,19,3
Assam,Karbianglog (Diphu),Food Poisoning,2021-03,2021,3,0.0,202.0,0.0,0.0,0.0,None,202.0,4,246,19,3
Assam,Karbianglog (Diphu),Food Poisoning,2021-04,2021,4,0.0,0.0,202.0,0.0,0.0,None,202.0,4,246,19,3
Assam,Lakhimpur,Acute Diarrheal Disease,2023-09,2023,9,105.0,0.0,0.0,0.0,0.0,None,105.0,4,280,0,3
Assam,Lakhimpur,Acute Diarrheal Disease,2023-10,2023,10,0.0,105.0,0.0,0.0,0.0,None,105.0,4,280,0,3
Assam,Majuli,Acute Diarrheal Disease,2023-09,2023,9,43.0,0.0,0.0,0.0,0.0,None,43.0,4,297,0,3
Assam,Majuli,Acute Diarrheal Disease,2023-10,2023,10,0.0,43.0,0.0,0.0,0.0,None,43.0,4,297,0,3
Assam,Marigaon,Acute Diarrheal Disease,2022-12,2022,12,15.0,0.0,0.0,0.0,0.0,None,15.0,4,305,0,3
Assam,Marigaon,Acute Diarrheal Disease,2023-01,2023,1,0.0,15.0,0.0,0.0,0.0,None,15.0,4,305,0,3
Assam,Marigaon,Acute Diarrheal Disease,2023-02,2023,2,0.0,0.0,15.0,0.0,0.0,None,15.0,4,305,0,3
Assam,Marigaon,Acute Diarrheal Disease,2023-05,2023,5,27.0,0.0,0.0,0.0,0.0,None,27.0,4,305,0,3
Assam,Marigaon,Acute Diarrheal Disease,2023-06,2023,6,0.0,27.0,0.0,0.0,0.0,None,27.0,4,305,0,3
Assam,Marigaon,Acute Diarrheal Disease,2023-07,2023,7,0.0,0.0,27.0,0.0,0.0,None,27.0,4,305,0,3
Assam,Marigaon,Acute Diarrheal Disease,2023-09,2023,9,36.0,0.0,0.0,0.0,0.0,None,36.0,4,305,0,3
Assam,Marigaon,Acute Diarrheal Disease,2023-10,2023,10,0.0,36.0,0.0,0.0,0.0,None,36.0,4,305,0,3
Assam,Marigaon,Leptospirosis,2023-02,2023,2,1.0,0.0,0.0,0.0,0.0,None,1.0,4,305,25,3
Assam,Marigaon,Leptospirosis,2023-03,2023,3,0.0,1.0,0.0,0.0,0.0,None,1.0,4,305,25,3
Assam,Marigaon,Leptospirosis,2023-04,2023,4,0.0,0.0,1.0,0.0,0.0,None,1.0,4,305,25,3
Assam,Marigaon,Scrub Typhus,2023-05,2023,5,2.0,0.0,0.0,0.0,0.0,None,2.0,4,305,37,3
Assam,Marigaon,Scrub Typhus,2023-06,2023,6,0.0,2.0,0.0,0.0,0.0,None,2.0,4,305,37,3
Assam,Marigaon,Scrub Typhus,2023-07,2023,7,0.0,0.0,2.0,0.0,0.0,None,2.0,4,305,37,3
Assam,Nagaon,Chickenpox,2022-04,2022,4,13.0,0.0,0.0,0.0,0.0,None,13.0,4,319,8,3
Assam,Nagaon,Chickenpox,2022-05,2022,5,0.0,13.0,0.0,0.0,0.0,None,13.0,4,319,8,3
Assam,Nagaon,Chickenpox,2022-06,2022,6,0.0,0.0,13.0,0.0,0.0,None,13.0,4,319,8,3
Assam,Nagaon,Leptospirosis,2022-05,2022,5,2.0,0.0,0.0,0.0,0.0,None,2.0,4,319,25,3
Assam,Nagaon,Leptospirosis,2022-06,2022,6,0.0,2.0,0.0,0.0,0.0,None,2.0,4,319,25,3
Assam,Nagaon,Leptospirosis,2022-07,2022,7,0.0,0.0,2.0,0.0,0.0,None,2.0,4,319,25,3
Assam,Nalbari,Acute Diarrheal Disease,2023-09,2023,9,119.0,0.0,0.0,0.0,0.0,None,119.0,4,325,0,3
Assam,Nalbari,Acute Diarrheal Disease,2023-10,2023,10,0.0,119.0,0.0,0.0,0.0,None,119.0,4,325,0,3
Assam,Sonitpur,Chickenpox,2023-02,2023,2,20.0,0.0,0.0,0.0,0.0,None,20.0,4,440,8,3
Assam,Sonitpur,Chickenpox,2023-03,2023,3,0.0,20.0,0.0,0.0,0.0,None,20.0,4,440,8,3
Assam,Sonitpur,Chickenpox,2023-04,2023,4,0.0,0.0,20.0,0.0,0.0,None,20.0,4,440,8,3
Assam,Sonitpur,Dengue,2022-06,2022,6,2.0,0.0,0.0,0.0,0.0,None,2.0,4,440,13,3
Assam,Sonitpur,Dengue,2022-07,2022,7,0.0,2.0,0.0,0.0,0.0,None,2.0,4,440,13,3
Assam,Sonitpur,Dengue,2022-08,2022,8,0.0,0.0,2.0,0.0,0.0,None,2.0,4,440,13,3
Assam,South Salmar Mancachar,Food Poisoning,2023-08,2023,8,5.0,0.0,0.0,0.0,0.0,None,5.0,4,447,19,3
Assam,South Salmar Mancachar,Food Poisoning,2023-09,2023,9,0.0,5.0,0.0,0.0,0.0,None,5.0,4,447,19,3
Assam,South Salmar Mancachar,Food Poisoning,2023-10,2023,10,0.0,0.0,5.0,0.0,0.0,None,5.0,4,447,19,3
Assam,Udalguri,Acute Diarrheal Disease,2023-09,2023,9,39.0,0.0,0.0,0.0,0.0,None,39.0,4,490,0,3
Assam,Udalguri,Acute Diarrheal Disease,2023-10,2023,10,0.0,39.0,0.0,0.0,0.0,None,39.0,4,490,0,3
Assam,Udalguri,Food Poisoning,2023-10,2023,10,7.0,0.0,0.0,0.0,0.0,None,7.0,4,490,19,3
Assam (Ihip),Jorhat,Fever Of Unknown Origin,2022-06,2022,6,25.0,0.0,0.0,0.0,0.0,None,25.0,5,226,17,3
Assam (Ihip),Jorhat,Fever Of Unknown Origin,2022-07,2022,7,0.0,25.0,0.0,0.0,0.0,None,25.0,5,226,17,3
Assam (Ihip),Jorhat,Fever Of Unknown Origin,2022-08,2022,8,0.0,0.0,25.0,0.0,0.0,None,25.0,5,226,17,3
