origin_district,origin_state,origin_lat,origin_lon,dest_district,dest_state,dest_lat,dest_lon
Mayurbhanj,Orissa,21.890673376638865,86.40586500852461,West Midnapore,West Bengal,22.41042309898121,87.26240707074366
Sambalpur,Orissa,21.447530852434202,84.27427710323998,Sundargarh,Orissa,22.07666600993509,84.50392837222182
Amritsar,Punjab,31.530494782944217,74.8664216629311,Firozpur,Punjab,30.561616466621825,74.39445905070583
Amritsar,Punjab,31.530494782944217,74.8664216629311,Gurdaspur,Punjab,32.0226437651062,75.37307909644149
Amritsar,Punjab,31.530494782944217,74.8664216629311,Kapurthala,Punjab,31.35482786252771,75.38977808103658
Bathinda,Punjab,30.184054846049285,75.02997517374462,Sangrur,Punjab,30.269113864132223,75.75107785803438
Faridkot,Punjab,30.611096055047362,74.76789177691724,Moga,Punjab,30.76706397814189,75.15800306594376
Faridkot,Punjab,30.611096055047362,74.76789177691724,Muktsar,Punjab,30.294645982824925,74.53061871776171
Firozpur,Punjab,30.561616466621825,74.39445905070583,Jalandhar,Punjab,31.213807835059054,75.55370722794486
Firozpur,Punjab,30.561616466621825,74.39445905070583,Kapurthala,Punjab,31.35482786252771,75.38977808103658
Firozpur,Punjab,30.561616466621825,74.39445905070583,Ganganagar,Rajasthan,29.407765361601562,73.59830157956335
Firozpur,Punjab,30.561616466621825,74.39445905070583,Hanumangarh,Rajasthan,29.24014104794177,74.59694825890878
Gurdaspur,Punjab,32.0226437651062,75.37307909644149,Hoshiarpur,Punjab,31.62732906079704,75.84461182590118
Gurdaspur,Punjab,32.0226437651062,75.37307909644149,Kapurthala,Punjab,31.35482786252771,75.38977808103658
Hoshiarpur,Punjab,31.62732906079704,75.84461182590118,Jalandhar,Punjab,31.213807835059054,75.55370722794486
Hoshiarpur,Punjab,31.62732906079704,75.84461182590118,Kapurthala,Punjab,31.35482786252771,75.38977808103658
Hoshiarpur,Punjab,31.62732906079704,75.84461182590118,Nawan Shehar,Punjab,31.111506682259122,76.14292123003375
Hoshiarpur,Punjab,31.62732906079704,75.84461182590118,Rupnagar,Punjab,30.962697648967453,76.53863158419111
Jalandhar,Punjab,31.213807835059054,75.55370722794486,Kapurthala,Punjab,31.35482786252771,75.38977808103658
Jalandhar,Punjab,31.213807835059054,75.55370722794486,Ludhiana,Punjab,30.810692973767814,75.82411703478898
Jalandhar,Punjab,31.213807835059054,75.55370722794486,Nawan Shehar,Punjab,31.111506682259122,76.14292123003375
Kapurthala,Punjab,31.35482786252771,75.38977808103658,Nawan Shehar,Punjab,31.111506682259122,76.14292123003375
Ludhiana,Punjab,30.810692973767814,75.82411703478898,Nawan Shehar,Punjab,31.111506682259122,76.14292123003375
Ludhiana,Punjab,30.810692973767814,75.82411703478898,Rupnagar,Punjab,30.962697648967453,76.53863158419111
Ludhiana,Punjab,30.810692973767814,75.82411703478898,Sangrur,Punjab,30.269113864132223,75.75107785803438
Nawan Shehar,Punjab,31.111506682259122,76.14292123003375,Rupnagar,Punjab,30.962697648967453,76.53863158419111
Patiala,Punjab,30.309407194220302,76.398000403127,Rupnagar,Punjab,30.962697648967453,76.53863158419111
Patiala,Punjab,30.309407194220302,76.398000403127,Sangrur,Punjab,30.269113864132223,75.75107785803438
Ajmer,Rajasthan,26.228079924152592,74.7642518496749,Bhilwara,Rajasthan,25.483072938084458,74.72686550519876
Ajmer,Rajasthan,26.228079924152592,74.7642518496749,Jaipur,Rajasthan,26.983751642723917,75.71827969040974
Ajmer,Rajasthan,26.228079924152592,74.7642518496749,Nagaur,Rajasthan,27.06639984305069,74.18374438811135
Ajmer,Rajasthan,26.228079924152592,74.7642518496749,Pali,Rajasthan,25.708695748836075,73.52097224079252
Ajmer,Rajasthan,26.228079924152592,74.7642518496749,Rajsamand,Rajasthan,25.197425062519116,73.87531867191237
Ajmer,Rajasthan,26.228079924152592,74.7642518496749,Tonk,Rajasthan,26.150000447218037,75.66734050527432
Alwar,Rajasthan,27.59682451500201,76.5980044648519,Bharatpur,Rajasthan,27.251200463820243,77.27077342680111
Alwar,Rajasthan,27.59682451500201,76.5980044648519,Dausa,Rajasthan,26.86609400222361,76.51993412554882
Alwar,Rajasthan,27.59682451500201,76.5980044648519,Jaipur,Rajasthan,26.983751642723917,75.71827969040974
Banswara,Rajasthan,23.509113306655813,74.39584186470597,Chittaurgarh,Rajasthan,24.61773967171041,74.77049342451434
Banswara,Rajasthan,23.509113306655813,74.39584186470597,Dungarpur,Rajasthan,23.734164323228384,73.85793495842816
Banswara,Rajasthan,23.509113306655813,74.39584186470597,Udaipur,Rajasthan,24.391910320543726,73.75588399643622
Baran,Rajasthan,25.000459726538303,76.75188847027249,Jhalawar,Rajasthan,24.333123599201443,76.19371570155248
Baran,Rajasthan,25.000459726538303,76.75188847027249,Kota,Rajasthan,25.128637179086162,76.12541623594453
Barmer,Rajasthan,25.730182500356,71.4789602549643,Jaisalmer,Rajasthan,27.07029577955492,70.90052935296467
Barmer,Rajasthan,25.730182500356,71.4789602549643,Jalor,Rajasthan,25.095054108152485,72.21691754193021
Barmer,Rajasthan,25.730182500356,71.4789602549643,Jodhpur,Rajasthan,26.749049674918258,72.78783352555259
Barmer,Rajasthan,25.730182500356,71.4789602549643,Pali,Rajasthan,25.708695748836075,73.52097224079252
Bharatpur,Rajasthan,27.251200463820243,77.27077342680111,Dausa,Rajasthan,26.86609400222361,76.51993412554882
Bharatpur,Rajasthan,27.251200463820243,77.27077342680111,Dhaulpur,Rajasthan,26.686454381491714,77.69562556277447
Bharatpur,Rajasthan,27.251200463820243,77.27077342680111,Karauli,Rajasthan,26.52226616813788,76.93956151085321
Bharatpur,Rajasthan,27.251200463820243,77.27077342680111,Agra,Uttar Pradesh,27.007505137477764,78.06292449172209
Bharatpur,Rajasthan,27.251200463820243,77.27077342680111,Mathura,Uttar Pradesh,27.60062115372789,77.62079786926368
Bhilwara,Rajasthan,25.483072938084458,74.72686550519876,Bundi,Rajasthan,25.474335002199137,75.77371292437886
Bhilwara,Rajasthan,25.483072938084458,74.72686550519876,Chittaurgarh,Rajasthan,24.61773967171041,74.77049342451434
Bhilwara,Rajasthan,25.483072938084458,74.72686550519876,Rajsamand,Rajasthan,25.197425062519116,73.87531867191237
Bhilwara,Rajasthan,25.483072938084458,74.72686550519876,Tonk,Rajasthan,26.150000447218037,75.66734050527432
Bikaner,Rajasthan,28.1910275445059,73.0766001730997,Churu,Rajasthan,28.292704670488245,74.56158047519475
Bikaner,Rajasthan,28.1910275445059,73.0766001730997,Ganganagar,Rajasthan,29.407765361601562,73.59830157956335
Bikaner,Rajasthan,28.1910275445059,73.0766001730997,Hanumangarh,Rajasthan,29.24014104794177,74.59694825890878
Bikaner,Rajasthan,28.1910275445059,73.0766001730997,Jaisalmer,Rajasthan,27.07029577955492,70.90052935296467
Bikaner,Rajasthan,28.1910275445059,73.0766001730997,Jodhpur,Rajasthan,26.749049674918258,72.78783352555259
Bikaner,Rajasthan,28.1910275445059,73.0766001730997,Nagaur,Rajasthan,27.06639984305069,74.18374438811135
Bundi,Rajasthan,25.474335002199137,75.77371292437886,Chittaurgarh,Rajasthan,24.61773967171041,74.77049342451434
Bundi,Rajasthan,25.474335002199137,75.77371292437886,Kota,Rajasthan,25.128637179086162,76.12541623594453
Bundi,Rajasthan,25.474335002199137,75.77371292437886,Tonk,Rajasthan,26.150000447218037,75.66734050527432
Chittaurgarh,Rajasthan,24.61773967171041,74.77049342451434,Kota,Rajasthan,25.128637179086162,76.12541623594453
Chittaurgarh,Rajasthan,24.61773967171041,74.77049342451434,Rajsamand,Rajasthan,25.197425062519116,73.87531867191237
Chittaurgarh,Rajasthan,24.61773967171041,74.77049342451434,Udaipur,Rajasthan,24.391910320543726,73.75588399643622
Churu,Rajasthan,28.292704670488245,74.56158047519475,Hanumangarh,Rajasthan,29.24014104794177,74.59694825890878
Churu,Rajasthan,28.292704670488245,74.56158047519475,Jhunjhunun,Rajasthan,28.095589076508855,75.54498225057922
Churu,Rajasthan,28.292704670488245,74.56158047519475,Nagaur,Rajasthan,27.06639984305069,74.18374438811135
Churu,Rajasthan,28.292704670488245,74.56158047519475,Sikar,Rajasthan,27.640021414771343,75.28126185595673
Dausa,Rajasthan,26.86609400222361,76.51993412554882,Jaipur,Rajasthan,26.983751642723917,75.71827969040974
Dausa,Rajasthan,26.86609400222361,76.51993412554882,Karauli,Rajasthan,26.52226616813788,76.93956151085321
Dausa,Rajasthan,26.86609400222361,76.51993412554882,Sawai Madhopur,Rajasthan,26.1927589802982,76.44437776619056
Dausa,Rajasthan,26.86609400222361,76.51993412554882,Tonk,Rajasthan,26.150000447218037,75.66734050527432
Dhaulpur,Rajasthan,26.686454381491714,77.69562556277447,Karauli,Rajasthan,26.52226616813788,76.93956151085321
Dhaulpur,Rajasthan,26.686454381491714,77.69562556277447,Agra,Uttar Pradesh,27.007505137477764,78.06292449172209
Dungarpur,Rajasthan,23.734164323228384,73.85793495842816,Udaipur,Rajasthan,24.391910320543726,73.75588399643622
Ganganagar,Rajasthan,29.407765361601562,73.59830157956335,Hanumangarh,Rajasthan,29.24014104794177,74.59694825890878
Jaipur,Rajasthan,26.983751642723917,75.71827969040974,Nagaur,Rajasthan,27.06639984305069,74.18374438811135
Jaipur,Rajasthan,26.983751642723917,75.71827969040974,Sikar,Rajasthan,27.640021414771343,75.28126185595673
Jaipur,Rajasthan,26.983751642723917,75.71827969040974,Tonk,Rajasthan,26.150000447218037,75.66734050527432
Jaisalmer,Rajasthan,27.07029577955492,70.90052935296467,Jodhpur,Rajasthan,26.749049674918258,72.78783352555259
Jalor,Rajasthan,25.095054108152485,72.21691754193021,Pali,Rajasthan,25.708695748836075,73.52097224079252
Jalor,Rajasthan,25.095054108152485,72.21691754193021,Sirohi,Rajasthan,24.7584271232481,72.77903187084048
Jhalawar,Rajasthan,24.333123599201443,76.19371570155248,Kota,Rajasthan,25.128637179086162,76.12541623594453
Jhunjhunun,Rajasthan,28.095589076508855,75.54498225057922,Sikar,Rajasthan,27.640021414771343,75.28126185595673
Jodhpur,Rajasthan,26.749049674918258,72.78783352555259,Nagaur,Rajasthan,27.06639984305069,74.18374438811135
Jodhpur,Rajasthan,26.749049674918258,72.78783352555259,Pali,Rajasthan,25.708695748836075,73.52097224079252
Karauli,Rajasthan,26.52226616813788,76.93956151085321,Sawai Madhopur,Rajasthan,26.1927589802982,76.44437776619056
Kota,Rajasthan,25.128637179086162,76.12541623594453,Sawai Madhopur,Rajasthan,26.1927589802982,76.44437776619056
Kota,Rajasthan,25.128637179086162,76.12541623594453,Tonk,Rajasthan,26.150000447218037,75.66734050527432
