Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14
MH/YVT/2023/20/408,Maharashtra,Yavatmal,Food Poisoning,21,00,17-05-2023,19-05-2023,Under Control,,"Cases reported from Village Kati, Sevanagar",,59542223571689673947.pdf
OR/JAJ/2023/20/409,Odisha,Jajpur,Food Poisoning,16,00,20-05-23,20-05-23,Under Surveillance,,Cases reported from Village Panasa Padia,,59542223571689673947.pdf
WB/PRL/2023/20/410,West Bengal,Purulia,Acute Diarrheal Disease,30,00,17-05-2023,18-05-2023,Under Control,,Cases reported from Village Purda Block,,59542223571689673947.pdf
WB/PRL/2023/20/411,West Bengal,Purulia,Food Poisoning,60,00,16-05-23,17-05-23,Under Surveillance,,Cases reported from Village Gopalpur Block,,59542223571689673947.pdf
JK/UDP/2023/20/414,Jammu and Kashmir,Udhampur,Measles,04,00,01-05-2023,Under Control,,Cases reported from Village- District hospital Udhampur.,,59542223571689673947.pdf,
KL/ERN/2023/20/415,Kerala,Ernakulam,Dengue,26,00,30-03-23,Under Surveillance,,"Cases reported from Village Malayidamthuruth, PHC",,59542223571689673947.pdf,
KL/PTH/2023/20/416,Kerala,Pathanamthitta,Dengue,08,00,03-05-23,Under Surveillance,,Cases reported from Aruvapulam Panchayath in two different,,59542223571689673947.pdf,
KL/THI/2023/20/417,Kerala,Trivandrum,Adenovirus,117,00,29-04-23,Under Control,,"Cases reported from CHC Palode (Nanniyode, Pangode,",,59542223571689673947.pdf,
UP/FAT/2023/20/418,Uttar Pradesh,Fatehpur,Chickenpox,22,00,10-05-2023,Under Control,,"Cases reported from Village- Nilambarpur Kurustikala, Block",,59542223571689673947.pdf,
CT/SGJ/2023/21/419,Chhattisgarh,Surguja,Fever,06,00,23-05-2023,24-05-2023,Under Control,,Cases reported from Village Amgasi Block,,64657729271690964415.pdf
GJ/JGH/2023/21/420,Gujarat,Junagadh,Food Poisoning,109,00,21-05-2023,22-05-2023,Under Control,,"Cases reported from Village Pipali, PHC/CHC",,64657729271690964415.pdf
JH/WSI/2023/21/421,Jharkhand,West Singhbhum,Chickenpox,07,00,23-05-2023,23-05-2023,Under Control,,Case reported from Village Kerkata,,64657729271690964415.pdf
KN/DKK/2023/21/422,Karnataka,Dakshina Kannada,Acute Diarrheal Disease,16,00,22-05-23,22-05-23,Under Surveillance,,"Cases reported from Village Shivabagh,",,64657729271690964415.pdf
KN/HAV/2023/21/423,Karnataka,Haveri,Acute Diarrheal Disease,52,00,23-05-23,24-05-23,Under Control,,"Cases reported from Village Chapparahalli,",,64657729271690964415.pdf
KN/RCR/2023/21/424,Karnataka,Raichur,Acute Diarrheal Disease,50,01,25-05-23,26-05-23,Under Surveillance,,"Cases reported from Village Rekalamaradi,",,64657729271690964415.pdf
KN/RCR/2023/21/425,Karnataka,Raichur,Cholera,61,00,25-05-23,26-05-23,Under Surveillance,,"Cases reported from Village Gorebal,",,64657729271690964415.pdf
KN/RCR/2023/21/426,Karnataka,Raichur,Acute Diarrheal Disease,17,00,27-05-23,28-05-23,Under Surveillance,,"Cases reported from Harapur, PHC/CHC",,64657729271690964415.pdf
KL/ALP/2023/21/427,Kerala,Alappuzha,West Nile Fever,01,00,27-05-23,27-05-23,Under Control,,"Case reported from Pandanad, Block Family",,64657729271690964415.pdf
KL/KOA/2023/21/428,Kerala,Kollam,Food Poisoning,15,00,26-05-2023,27-05-2023,Under Control,,"Case reported from Govt. School of Nursing,",,64657729271690964415.pdf
KL/KAS/2023/21/429,Kerala,Kozhikode,Monkey Pox,01,00,24-05-23,29-05-23,Under Control,,"Case reported from 12 (MCH Unit Cherropa,",,64657729271690964415.pdf
KL/CNR/2023/21/430,Kerala,Kannur,Food Poisoning,43,00,26-05-23,27-05-23,Under Surveillance,,"Cases reported from Village Peralam, TH",,64657729271690964415.pdf
KL/WYN/2023/21/431,Kerala,Wayanad,Food Poisoning,46,00,19-05-23,26-05-23,Under Surveillance,,"Cases reported from Thondarnadu, Kunhome,",,64657729271690964415.pdf
MP/KAT/2023/21/432,Madhya Pradesh,Katni,Measles,09,00,22-04-2023,22-05-2023,Under Control,,Case reported from Villages Pipariya and,,64657729271690964415.pdf
OR/KPT/2023/21/433,Odisha,Koraput,Suspected Anthrax,07,00,28-05-23,01-06-23,Under Control,,Cases reported from villages Nandigaon,,64657729271690964415.pdf
GJ/FAT/2023/21/436,Gujarat,Surat,Measles,10,00,05-04-2023,Under Control,,Case reported from Variyav Tarvadi UHC area of Surat,,64657729271690964415.pdf,
GJ/FAT/2023/21/437,Gujarat,Surat,Fever with Rash,07,00,15-04-2023,Under Control,,Case reported from Kshetrapal UHC area of Surat Municipal,,64657729271690964415.pdf,
GJ/FAT/2023/21/438,Gujarat,Surat,Measles,08,00,15-04-2023,Under Control,,Case reported from Karanj UHC area of Surat Municipal,,64657729271690964415.pdf,
KL/FAT/2023/21/439,Kerala,Kozhikode,Dengue,15,00,10-05-23,Under Control,,"Cases reported from Village Kanthalad, PHC Vayalada, Block",,64657729271690964415.pdf,
KL/FAT/2023/21/440,Kerala,Kottayam,Suspected Dengue,05,00,08-05-23,Under Surveillance,,"Cases reported from Village Njezhoor, Block FHC",,64657729271690964415.pdf,
KL/FAT/2023/21/441,Kerala,Kannur,Acute Diarrheal Disease,51,00,17-05-23,Under Surveillance,,Cases reported from Darul Falah Islamic Academy situated in,,64657729271690964415.pdf,
KL/FAT/2023/21/442,Kerala,Kannur,West Nile Fever,01,00,11-05-23,Under Surveillance,,"Cases reported from SC Thottada Kannur Corporation,",,64657729271690964415.pdf,
KL/FAT/2023/21/443,Kerala,Malappuram,Dengue,09,00,11-05-23,Under Surveillance,,"Cases reported from Village Karuvarakundu, M/C Arimanal",,64657729271690964415.pdf,
KL/FAT/2023/21/444,Kerala,Thrissur,Dengue,63,00,26-04-23,Under Surveillance,,"Cases reported from ward 26 and 28 Ollur, Block Ollur,",,64657729271690964415.pdf,
AS/CCR/2023/22/445,Assam,Cachar,Human Rabies,01,01,27-05-2023,29-05-2023,Under Control,,Cases reported from Village Purbo Dayapur,,9050581631691147080.pdf
AS/MAR/2023/22/446,Assam,Marigaon,Scrub Typhus,02,00,30-05-2023,31-05-2023,Under Control,,Cases reported from Village Patrabori and,,9050581631691147080.pdf
BH/SUP/2023/22/447,Bihar,Supaul,Acute Diarrheal Disease,50,00,29-05-2023,29-05-2023,Under Control,,"Cases reported from Village Chhatapur, PHC",,9050581631691147080.pdf
CT/BLD/2023/22/448,Chhattisgarh,Balod,Acute Diarrheal Disease,38,00,28-05-2023,03-06-2023,Under Control,,"Cases reported from Village Saloni, Block",,9050581631691147080.pdf
JH/ESI/2023/22/449,Jharkhand,East Singhbum,Fever with Rash,14,00,02-06-2023,02-06-2023,Under Control,,Cases reported from CP tola Bagbeda District,,9050581631691147080.pdf
KN/DVA/2023/22/450,Karnataka,Davanagere,Food Poisoning,15,00,02-06-23,03-06-23,Under Surveillance,,"Cases reported from Village Kodadagudda,",,9050581631691147080.pdf
KN/DKK/2023/22/451,Karnataka,Dakshina Kannada,Acute Diarrheal Diseases,27,00,02-06-23,03-06-23,Under Surveillance,,"Cases reported from ward 40, UPHC Bunder,",,9050581631691147080.pdf
KN/KPP/2023/22/452,Karnataka,Koppal,Cholera,32,00,03-06-23,04-06-23,Under Control,,"Cases reported from Village Guladalli, PHC",,9050581631691147080.pdf
KN/RCR/2023/22/453,Karnataka,Raichur,Cholera,101,00,02-06-23,03-06-23,Under Surveillance,,"Cases reported from Village Yaragunti, PHC",,9050581631691147080.pdf
KL/ALP/2023/22/454,Kerala,Alappuzha,Dengue,22,00,29-05-23,02-06-23,Under Surveillance,,"Cases reported from ward- 16, Punnapra CHC",,9050581631691147080.pdf
KL/KAS/2023/22/455,Kerala,Kasaragod,Food Poisoning,47,00,01-06-23,02-06-23,Under Surveillance,,"Cases reported from Panathady, PHC",,9050581631691147080.pdf
KL/KOA/2023/22/456,Kerala,Kollam,Food Poisoning,24,00,30-05-23,31-05-23,Under Control,,"Cases reported from Kalakkode, District",,9050581631691147080.pdf
KL/PLK/2023/22/457,Kerala,Palakkad,Acute Diarrheal Disease,16,00,04-06-23,05-06-23,Under Surveillance,,"Case reported from Village Koppam, Irshadul",,9050581631691147080.pdf
KL/PLK/2023/22/458,Kerala,Palakkad,Food Poisoning,14,00,29-05-23,07-06-23,Under Control,,"Cases reported from Thrithala, Block",,9050581631691147080.pdf
KL/TRC/2023/22/459,Kerala,Thrissur,Food Poisoning,35,00,30-05-23,03-06-23,Under Surveillance,,"Cases reported from Village Panjal, SC",,9050581631691147080.pdf
KL/WYN/2023/22/460,Kerala,Wayanad,Food Poisoning,114,00,29-05-23,02-06-23,Under Surveillance,,"Cases reported from Kalpetta, District",,9050581631691147080.pdf
MH/GAD/2023/22/461,Maharashtra,Gadchiroli,Malaria,19,01,29-05-2023,29-05-2023,Under Control,,"Cases reported from Village Marakbodi,",,9050581631691147080.pdf
MH/STA/2023/22/462,Maharashtra,Satara,Food Poisoning,101,00,30-05-2023,03-06-2023,Under Control,,"Cases reported from village Mohi, Block Man",,9050581631691147080.pdf
PB/BTD/2023/22/463,Punjab,Bathinda,Measles,03,00,01-06-2023,01-06-2023,Under Control,,Cases reported from Nawa Kesar Singh Wala,,9050581631691147080.pdf
TP/UKI/2023/22/464,Tripura,Unakoti,Acute Diarrheal Disease,23,00,31-05-2023,01-06-2023,Under Control,,Cases reported from 199 BN of Latiapura,,9050581631691147080.pdf
WB/NDA/2023/22/465,West Bengal,Nadia,Acute Diarrheal Disease,49,00,09-06-23,10-06-23,Under Surveillance,,"Cases reported from Village Dobil, SC",,9050581631691147080.pdf
WB/MDW/2023/22/466,West Bengal,Pachim Medinipur,Food Poisoning,78,00,03-06-23,03-06-23,Under Surveillance,,"Cases reported from Ghanashyabbati, Block",,9050581631691147080.pdf
BH/GYA/2023/22/470,Bihar,Gaya,Acute Diarrheal Disease,12,00,25-05-2023,Under Control,,"Cases reported from Village Wazirganj, District Gaya. Cases",,9050581631691147080.pdf,
CT/RPR/2023/22/471,Chhattisgarh,Raipur,Acute Diarrheal Disease,09,00,23-05-2023,Under Control,,"Cases reported from Village Tandawe, Sub district Tilda,",,9050581631691147080.pdf,
JH/ESI/2023/22/472,Jharkhand,East Singhbum,Chickenpox,11,00,23-05-2023,Under Control,,"Cases reported from Village Kapagora, Block Ghatsila,",,9050581631691147080.pdf,
KL/ERN/2023/22/473,Kerala,Ernakulam,Dengue,41,00,09-05-23,Under Surveillance,,"Cases reported from Angamaly, Mookkannur, District",,9050581631691147080.pdf,
KL/IDK/2023/22/474,Kerala,Idukki,Dengue,16,00,22-05-23,Under Control,,"Cases reported from SC MC Elamdesham, PHC Elamdesham,",,9050581631691147080.pdf,
KL/IDK/2023/22/475,Kerala,Idukki,Dengue,15,00,25-05-23,Under Control,,"Cases reported from SC Pattayakudy, Block Purapuzha,",,9050581631691147080.pdf,
KL/KTM/2023/22/476,Kerala,Kottayam,Dengue,09,00,11-05-23,Under Surveillance,,"Cases reported from Aimkombu, Block Ullanad, District",,9050581631691147080.pdf,
KL/KTM/2023/22/477,Kerala,Kottayam,Dengue,05,00,24-05-2023,Under Control,,"Cases reported from village Njeezhor, Sub district Vaikom",,9050581631691147080.pdf,
KL/PTH/2023/22/478,Kerala,Pathanamthitta,Dengue,19,00,23-05-23,Under Surveillance,,"Cases reported from Anicadu Panchayath, Ward 1, 13 (Very",,9050581631691147080.pdf,
KL/TRC/2023/22/479,Kerala,Thrissur,Dengue,48,00,04-05-23,Under Surveillance,,Cases reported from ward 9 SC Vellikulangara and,,9050581631691147080.pdf,
KL/THI/2023/22/480,Kerala,Thiruvanathap uram,Dengue,12,00,15-04-23,Under Surveillance,,"Cases reported from Kesavapuram, Killimanoor,",,9050581631691147080.pdf,
KL/WYN/2023/22/481,Kerala,Wayanad,Measles,29,00,01-04-23,Under Surveillance,,"Cases reported from Village Porunnanore, Vellamunda,",,9050581631691147080.pdf,
KL/WYN/2023/22/482,Kerala,Wayanad,Acute Gastroenteritis,45,00,22-05-2023,Under Control,,"Cases reported from Village Thondemad, Sub district",,9050581631691147080.pdf,
MZ/AIZ/2023/22/483,Mizoram,Aizawl,Fever,30,00,25-05-2023,Under Control,,"Cases reported from Durtlang Mel-5 locality, Aizawl District.",,9050581631691147080.pdf,
MP/ASH/2023/22/484,Madhya Pradesh,Ashoknagar,Fever with rash,06,00,25-05-2023,Under Control,,Case reported from village Delkawar SHC Bamnawar District,,9050581631691147080.pdf,
MH/GAD/2023/22/485,Maharashtra,Gadchiroli,Malaria,06,01,25-05-2023,Under Control,,"Cases reported from Village Kumarguda, Sub district",,9050581631691147080.pdf,
MH/GAD/2023/22/486,Maharashtra,Gadchiroli,Malaria,21,01,23-05-2023,Under Control,,"Cases reported from Village Godalwahi Tola, Sub district",,9050581631691147080.pdf,
PB/BTD/2023/22/487,Punjab,Bathinda,Measles,05,00,24-05-2023,Under Control,,"Cases reported from Guru Nanak Basti, Goniana District",,9050581631691147080.pdf,
CT/NRY/2023/23/488,Chhattisgarh,Narayanpur,Acute Diarrheal Disease,05,00,04-06-2023,05-06-2023,Under Control,,"Cases reported from Block Narayanpur,",,15879821711692006852.pdf
GJ/VSD/2023/23/489,Gujarat,Valsad,Food Poisoning,09,00,06-06-2023,07-06-2023,Under Control,,Cases reported from virakshetra village of,,15879821711692006852.pdf
KN/BGK/2023/23/490,Karnataka,Bagalakote,Cholera,13,00,05-06-23,06-06-23,Under Control,,"Cases reported from Village Sanklapur, PHC",,15879821711692006852.pdf
KN/BAU/2023/23/491,Karnataka,BBMP,Acute Diarrheal Disease,99,00,07-06-23,10-06-23,Under Control,,"Cases reported from Ward 191, UPHC",,15879821711692006852.pdf
KN/HAS/2023/23/492,Karnataka,Hassan,Acute Diarrheal Disease,12,00,06-06-23,07-06-23,Under Control,,Cases reported from Village NDRK Nursing,,15879821711692006852.pdf
KN/HAS/2023/23/493,Karnataka,Hassan,Acute Diarrheal Disease,35,00,07-06-23,07-06-23,Under Control,,"Cases reported from Village Achangi, PHC",,15879821711692006852.pdf
KN/KPP/2023/23/494,Karnataka,Koppal,Cholera,34,00,05-06-23,05-06-23,Under Control,,"Cases reported from Village Basarihal, PHC",,15879821711692006852.pdf
KN/KPP/2023/23/495,Karnataka,Koppal,Acute Gastroenteriti s,48,00,06-06-23,07-06-23,Under Surveillance,,"Cases reported from Village Jumlapur, PHC",,15879821711692006852.pdf
KN/KPP/2023/23/496,Karnataka,Koppal,Cholera,124,01,06-06-2023,07-06-23,Under Surveillance,,"Cases reported from Bijakal Village, PHC",,15879821711692006852.pdf
KN/KPP/2023/23/497,Karnataka,Koppal,Acute Gastroenteriti s,21,00,07-06-23,08-06-23,Under Surveillance,,"Cases reported from Village Hosashivapura,",,15879821711692006852.pdf
KN/KPP/2023/23/498,Karnataka,Koppal,Cholera,27,00,06-06-23,08-06-23,Under Surveillance,,"Cases reported from Village Gaddigeri Tanda,",,15879821711692006852.pdf
KN/KPP/2023/23/499,Karnataka,Koppal,Acute Diarrheal Disease,63,00,08-06-23,08-06-23,Under Surveillance,,"Cases reported from Village Gavaral, PHC",,15879821711692006852.pdf
KN/RCR/2023/23/500,Karnataka,Raichur,Acute Diarrheal Disease,21,00,06-06-23,07-06-23,Under Control,,"Cases reported from Village Ratnapur, PHC",,15879821711692006852.pdf
KL/KOA/2023/23/501,Kerala,Kollam,Food poisoning,13,00,03-06-2023,05-06-2023,Under Control,,"Cases reported from Sooranad, South",,15879821711692006852.pdf
KL/CNR/2023/23/502,Kerala,Kannur,Acute Diarrheal Disease,30,00,05-06-23,07-06-23,Under Surveillance,,"Cases reported from TH Peringome, Village",,15879821711692006852.pdf
KL/MLP/2023/23/503,Kerala,Malappuram,Food Poisoning,175,00,04-06-23,12-06-23,Under Surveillance,,"Cases reported from Village Perumpadappu,",,15879821711692006852.pdf
KL/PKD/2023/23/504,Kerala,Palakkad,Acute Diarrheal Disease,09,00,08-06-23,12-06-23,Under Surveillance,,Cases reported from Kalladi School Hostel,,15879821711692006852.pdf
MP/GWL/2023/23/505,Madhya Pradesh,Gwalior,Measles,06,01,05-06-2023,05-06-2023,Under Control,,Cases reported from Naingiri SHC Ramura,,15879821711692006852.pdf
MH/YVT/2023/23/506,Maharashtra,Yavatmal,Acute Diarrheal Disease,107,00,03-06-2023,05-06-2023,Under Control,,"Cases reported from Village Gahuli, Block",,15879821711692006852.pdf
OR/KPT/2023/23/507,Odisha,Koraput,Food Poisoning,149,00,04-06-23,04-06-23,Under Surveillance,,"Cases reported from Village Dudhari,",,15879821711692006852.pdf
UK/GAR/2023/23/508,Uttarakhand,Pauri Garhwal,Fever,25,00,07-06-2023,07-06-2023,Under Control,,"Cases reported from Kot block, district Pauri",,15879821711692006852.pdf
UP/UNN/2023/23/509,Uttar Pradesh,Unnao,Food Poisoning,20,00,04-06-2023,07-06-2023,Under Control,,"Cases reported from Village- Gadan Khera,",,15879821711692006852.pdf
KL/ERN/2023/23/512,Kerala,Ernakulam,Dengue,31,00,10-05-23,Under Surveillance,,"Cases reported from Varapetty, Kuttapuzha, Vadattupura,",,15879821711692006852.pdf,
UP/FAT/2023/23/513,Uttar Pradesh,Fatehpur,Measles,03,00,16-05-2023,Under Control,,"Cases reported from Village Bishapur, PHC/Block- Bhitaura,",,15879821711692006852.pdf,
AP/LSB/2023/25/541,Arunachal Pradesh,Lower Subansiri,Chickenpox,17,00,19-06-2023,20-06-2023,Under Control,,"Cases reported from Little Angle School,",,3934934481693388430.pdf
AS/SBS/2023/25/542,Assam,Charaideo,Mushroom Poisoning,07,00,19-06-2023,21-06-2023,Under Control,,Cases were reported from Village Tinsukia,,3934934481693388430.pdf
AS/DHE/2023/25/543,Assam,Dhemaji,Mushroom Poisoning,16,00,21-06-2023,21-06-2023,Under Control,,"Cases reported from Jonai Block, Dekapam",,3934934481693388430.pdf
AS/DHE/2023/25/544,Assam,Dhemaji,Mushroom Poisoning,04,00,19-06-2023,19-06-2023,Under Control,,"Cases reported from Sissibor gaon Block,",,3934934481693388430.pdf
AS/DBG/2023/25/545,Assam,Dibrugarh,Chickenpox,22,00,21-06-2023,22-06-2023,Under Surveillance,,Cases reported from Block/PHC Lahoal,,3934934481693388430.pdf
AS/DBG/2023/25/546,Assam,Dibrugarh,Mushroom poisoning,07,00,23-06-2023,23-06-2023,Under Control,,"Cases reported from Naharani BPHC, Village",,3934934481693388430.pdf
AS/DBG/2023/25/547,Assam,Dibrugarh,Mushroom poisoning,08,00,21-06-2023,22-06-2023,Under Control,,"Cases reported from Naharani BPHC, Village",,3934934481693388430.pdf
BH/BUX/2023/25/548,Bihar,Buxar,Fever with Rash,08,00,22-06-2023,24-06-2023,Under Surveillance,,Cases reported from Village Narainpur Sub,,3934934481693388430.pdf
BH/JAM/2023/25/549,Bihar,Jamui,Acute Diarrheal Disease,15,00,19-06-2023,20-06-2023,Under Control,,Cases reported from Village Khalari Sub,,3934934481693388430.pdf
BH/PAC/2023/25/550,Bihar,Pashchim Champaran,Fever with Rash,02,00,19-06-2023,20-06-2023,Under Control,,Cases reported from Village Barwat Sena Sub,,3934934481693388430.pdf
BH/PUC/2023/25/551,Bihar,Purbi Champaran,Measles,11,00,16-06-2023,20-06-2023,Under Surveillance,,"Cases reported from Kalyanpur, ward No. 10,",,3934934481693388430.pdf
BH/SWN/2023/25/552,Bihar,Siwan,Chickenpox,08,00,19-06-2023,21-06-2023,Under Surveillance,,Cases reported from Village Mairawa and,,3934934481693388430.pdf
BH/SUP/2023/25/553,Bihar,Supaul,Chickenpox,07,00,20-06-2023,20-06-2023,Under Surveillance,,Cases reported from Gram Panchayat,,3934934481693388430.pdf
CT/BLD/2023/25/554,Chhattisgarh,Balod,Fever,249,00,19-06-2023,22-06-2023,Under Control,,Cases reported from Block Gunderdehi,,3934934481693388430.pdf
CT/BLD/2023/25/555,Chhattisgarh,Balod,Acute Diarrheal Disease,16,00,19-06-2023,21-06-2023,Under Control,,"Cases reported from- block Gurur, SHC -",,3934934481693388430.pdf
CT/BAS/2023/25/556,Chhattisgarh,Bastar,Dengue,9,00,15-06-2023,20-06-2023,Under Control,,Cases reported from Maharana Pratap ward,,3934934481693388430.pdf
GJ/AHM/2023/25/557,Gujarat,Ahmedabad,Acute Diarrheal Disease,119,00,21-06-2023,22-06-2023,Under Control,,Cases reported from Ganeshnagar Lambha,,3934934481693388430.pdf
GJ/GAN/2023/25/558,Gujarat,Gandhinagar,Cholera,160,00,23-06-2023,23-06-2023,Under Control,,Cases reported from Gulistapark And Matva,,3934934481693388430.pdf
JK/SHP/2023/25/559,Jammu and Kashmir,Shopian,Mumps,14,00,22-06-2023,23-06-2023,Under Control,,Cases reported from village CS Khan block,,3934934481693388430.pdf
JK/SHP/2023/25/560,Jammu and Kashmir,Shopian,Mumps,10,00,21-06-2023,21-06-2023,Under Control,,Cases reported from village Adijan block,,3934934481693388430.pdf
JH/DEO/2023/25/561,Jharkhand,Deoghar,Malaria,14,00,21-06-2023,25-06-2023,Under Surveillance,,Cases were reported from village Basakola Sub,,3934934481693388430.pdf
JH/DEO/2023/25/562,Jharkhand,Deoghar,Malaria,12,00,20-06-2023,24-06-2023,Under Surveillance,,Cases were reported from village Harokura Sub,,3934934481693388430.pdf
JH/DHN/2023/25/563,Jharkhand,Dhanbad,Chickenpox,05,00,22-06-2023,23-06-2023,Under Surveillance,,Cases were reported from Dhanbad jail District,,3934934481693388430.pdf
JH/DMK/2023/25/564,Jharkhand,Dumka,Chickenpox,21,00,22-06-2023,23-06-2023,Under Control,,Cases reported from district Dumka. Cases,,3934934481693388430.pdf
JH/JAT/2023/25/565,Jharkhand,Jamtara,Chickenpox,14,00,16-06-2023,19-06-2023,Under Surveillance,,Cases were reported from village Patrodih Sub,,3934934481693388430.pdf
JH/RMG/2023/25/566,Jharkhand,Ramgarh,Measles,05,00,16-06-2023,23-06-2023,Under Surveillance,,Cases were reported from village Barkakana,,3934934481693388430.pdf
JH/WSI/2023/25/567,Jharkhand,West Singhbhum,Chickenpox,07,00,23-06-2023,23-06-2023,Under Control,,"Cases reported from Pancho, HSC-",,3934934481693388430.pdf
KN/BEL/2023/25/568,Karnataka,Ballari,Typhoid,47,00,19-06-2023,23-06-2023,Under Control,,Cases of fever reported from UPHC,,3934934481693388430.pdf
KN/BEG/2023/25/569,Karnataka,Belagavi,Acute Diarrheal Disease,24,00,19-06-2023,21-06-2023,Under Control,,Cases reported from Govt. BCM Hostel,,3934934481693388430.pdf
KN/BDR/2023/25/570,Karnataka,Bidar,Acute Diarrheal Disease,17,00,19-06-2023,20-06-2023,Under Control,,"Cases reported from Karkyal village, PHC",,3934934481693388430.pdf
KN/DHA/2023/25/571,Karnataka,Dharwad,Food Poisoning,32,00,12-06-2023,22-06-2023,Under Control,,"Cases reported form Kiresur village, PHC",,3934934481693388430.pdf
KN/GUL/2023/25/572,Karnataka,Kalaburagi,Food Poisoning,30,00,19-06-2023,23-06-2023,Under Control,,Cases reported from Kodla village Kodla PHC,,3934934481693388430.pdf
KN/KPP/2023/25/573,Karnataka,Koppal,Cholera,27,00,21-06-2023,24-06-2023,Under Control,,Cases reported from Gabbur Village Ginigera,,3934934481693388430.pdf
KN/SHI/2023/25/574,Karnataka,Shivamogga,Cholera,102,00,12-06-2023,22-06-2023,Under Control,,"Cases reported form Gandinagara, Bidapura",,3934934481693388430.pdf
KN/CKM/2023/25/575,Karnataka,Chikkamagaluru,Dengue,14,00,13-06-23,17-06-23,Under Surveillance,,"Cases reported from Village Nagarahalli,",,3934934481693388430.pdf
KN/MNY/2023/25/576,Karnataka,Mandya,Acute Diarrheal Disease,52,00,17-06-23,19-06-23,Under Surveillance,,"Cases reported from Village Mavinakere,",,3934934481693388430.pdf
KN/BEL/2023/25/577,Karnataka,Ballari,Typhoid Fever,41,00,19-06-23,19-06-23,Under Surveillance,,"Cases reported from Village 7th ward, PHC-",,3934934481693388430.pdf
KN/SHI/2023/25/578,Karnataka,Shivamogga,Rabies,01,01,22-06-23,22-06-23,Under Surveillance,,"Case reported from Village Nadahalli, PHC-",,3934934481693388430.pdf
KN/UDU/2023/25/579,Karnataka,Udupi,Acute Diarrheal Disease,15,00,19-06-23,23-06-23,Under Surveillance,,"Cases reported from Village Manipal, 80",,3934934481693388430.pdf
KL/CNR/2023/25/580,Kerala,Kannur,Food poisoning,14,00,20-06-2023,22-06-2023,Under Surveillance,,Cases reported from ward 1 of Kankol,,3934934481693388430.pdf
KL/THI/2023/25/581,Kerala,Thiruvananthapu ram,Zika Virus,01,00,16-06-2023,19-06-2023,Under Surveillance,,Case reported from Thiruvananthapuram. Case,,3934934481693388430.pdf
MP/KAT/2023/25/582,Madhya Pradesh,Katni,Fever with Rash,10,00,12-06-2023,21-06-2023,Under Control,,"Cases reported from SHC Raipura, Village",,3934934481693388430.pdf
MP/KHR/2023/25/583,Madhya Pradesh,Khargone,Acute Diarrheal Disease,58,00,21-06-2023,21-06-2023,Under Surveillance,,Total 58 cases of ADD reported from Village,,3934934481693388430.pdf
MP/MNA/2023/25/584,Madhya Pradesh,Morena,Fever with Rash,06,00,23-06-2023,23-06-2023,Under Surveillance,,Cases reported from Sub Center Badapura,,3934934481693388430.pdf
MP/NSP/2023/25/585,Madhya Pradesh,Narsinghpur,Malaria,06,00,24-06-2023,24-06-2023,Under Surveillance,,"Cases reported from Block Salichouka, Village",,3934934481693388430.pdf
MP/SNA/2023/25/586,Madhya Pradesh,Satna,Chickenpox,07,00,18-06-2023,22-06-2023,Under Surveillance,,"Cases reported from Sohawal block, village",,3934934481693388430.pdf
MH/GAD/2023/25/587,Maharashtra,Gadchiroli,Malaria,37,01,23-06-2023,23-06-2023,Under Control,,"Cases reported from Block Chamorshi, PHC-",,3934934481693388430.pdf
MH/HIN/2023/25/588,Maharashtra,Hingoli,Acute Diarrheal Disease,64,00,23-06-2023,25-06-2023,Under Control,,Cases reported from Sub district Aundha,,3934934481693388430.pdf
MH/KOP/2023/25/589,Maharashtra,Kolhapur,Dengue,79,00,22-06-2023,23-06-2023,Under Surveillance,,"Cases reported from SC Waghave, PHC Porle,",,3934934481693388430.pdf
MH/KOP/2023/25/590,Maharashtra,Kolhapur,Dengue,34,00,22-06-2023,23-06-2023,Under Control,,"Cases reported from At./Po. Sawaredbu, SC",,3934934481693388430.pdf
MH/OSM/2023/25/591,Maharashtra,Osmanabad,Chikungunya,06,00,20-06-2023,23-06-2023,Under Control,,"Cases reported from SC Bhandari, PHC",,3934934481693388430.pdf
MH/PNE/2023/25/592,Maharashtra,Pune,Dengue,09,00,21-06-2023,23-06-2023,Under Control,,"Cases reported from At./Po.- Chandoli, Donde",,3934934481693388430.pdf
MG/EKH/2023/25/593,Meghalaya,East Khasi Hills,Mushroom Poisoning,09,00,23-06-2023,23-06-2023,Under Control,,Cases reported from Mawphlang Block/,,3934934481693388430.pdf
MG/WKH/2023/25/594,Meghalaya,South West Khasi Hills,Mushroom Poisoning,14,00,22-06-2023,22-06-2023,Under Control,,Cases reported from Mawkyrwat block/,,3934934481693388430.pdf
NG/DMR/2023/25/595,Nagaland,Dimapur,Dengue,68,00,20-06-2023,20-06-2023,Under Surveillance,,"Cases reported from UPHC Burma Camp, PHC",,3934934481693388430.pdf
OR/JAG/2023/25/596,Odisha,Jagatsinghpur,Malaria,07,00,19-06-2023,23-06-2023,Under Control,,Cases reported from Urali village of Palasa SC,,3934934481693388430.pdf
PB/LDH/2023/25/597,Punjab,Ludhiana,Food Poisoning,11,00,21-06-2023,22-06-2023,Under Control,,"Cases reported from Civil Hospital, Ludhiana.",,3934934481693388430.pdf
