Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14
KL/ERN/2023/07/146,Kerala,Ernakulam,Food Poisoning,105,00,11-02-23,20-02-23,Under Control,,"Cases reported from Kumbhalangi, UPHC",,92837229251680676582.pdf,,
MH/OSM/2023/07/147,Maharashtra,Osmanabad,Food Poisoning,13,00,19-02-2023,19-02-2023,Under Control,,"Cases reported from Health facility Mulaj,",,92837229251680676582.pdf,,
OR/BSR/2023/07/148,Odisha,Balasore,Japanese Encephalitis,12,01,17-02-23,18-02-23,Under Control,,Cases reported from Purubai Sebashram,,92837229251680676582.pdf,,
UP/MRZ/2023/07/149,Uttar Pradesh,Mirzapur,Food Poisoning,21,02,13-02-2023,14-02-2023,Under Control,,"Cases reported from Village Karauda ,Sub",,92837229251680676582.pdf,,
KN/HAS/2023/07/153,Karnataka,Hassan,Measles & Rubella,60,00,09-02-23,Under Surveillance,,Cases reported from Village Bommanayakanahalli and Village,,92837229251680676582.pdf,,,
KL/CNR/2023/07/154,Kerala,Kannur,Food Poisoning,238,00,09-02-2023,Under Control,,Cases reported from Korom Muchilottu kavu temple situated in,,92837229251680676582.pdf,,,
KL/MLP/2023/07/155,Kerala,Malappuram,Cutaneous Leishmaniasis,01,00,04-02-23,Under Surveillance,,"Case reported from SC Narokavu, PHC Vazhikkadavu, Block",,92837229251680676582.pdf,,,
KL/WYN/2023/07/156,Kerala,Wayanand,Acute Diarrheal Disease,43,00,17-01-23,Under Surveillance,,"Cases reported from Mananthavdy, Village/SC/PHC",,92837229251680676582.pdf,,,
MH/SHO/2023/07/157,Maharashtra,Solapur,Food Poisoning,66,00,02-02-2023,Under Control,,"Cases reported from Takli Pandharpur, District Solapur. Cases",,92837229251680676582.pdf,,,
OR/JAJ/2023/07/158,Odisha,Jajpur,Hepatitis A,19,00,17-01-23,Under Surveillance,,"Cases reported from SC Mahakhala, Baba Bhairabananda Auto",,92837229251680676582.pdf,,,
UP/FAT/2023/07/159,Uttar Pradesh,Fatehpur,Measles,05,00,07-02-2023,Under Control,,"Cases reported from Kanjar Andera, Villkanjarandera ,Block-",,92837229251680676582.pdf,,,
UP/JLN/2023/07/160,Uttar Pradesh,Jalaun,Measles,31,00,08-02-2023,Under Control,,"Cases reported from Village/Sub Center- Chatela, Block-",,92837229251680676582.pdf,,,
CT/BLD/2023/14/267,Chhattisgarh,Balod,Chickenpox,12,00,05-04-2023,06-04-2023,Under Control,,"Cases reported from Village Bhandera, Block",,58269660581685423781.pdf
CT/BLS/2023/14/268,Chhattisgarh,Bilaspur,Chickenpox,19,00,03-04-2023,04-04-2023,Under Control,,"Cases reported from Village Dhaniya, PHC",,58269660581685423781.pdf
KL/MLP/2023/14/269,Kerala,Malappuram,Food Poisoning,71,00,02-04-23,10-04-23,Under Surveillance,,"Cases reported from Village Vazhayour, SC",,58269660581685423781.pdf
KL/THI/2023/14/270,Kerala,Thiruvananthapu ram,Acute Diarrheal Disease,234,00,05-04-2023,05-04-2023,Under Control,,Cases reported from Village Kanyakulan gara,,58269660581685423781.pdf
KL/THI/2023/14/271,Kerala,Thiruvananthapu ram,Acute Diarrheal Disease,335,00,04-04-23,05-04-23,Under Control,,"Cases reported from Vamanapuram, Manikkal,",,58269660581685423781.pdf
KL/WYN/2023/14/272,Kerala,Wayanad,Food Poisoning,16,00,04-04-23,05-04-23,Under Surveillance,,"Cases reported from Meppadi, Suganthagiri,",,58269660581685423781.pdf
MP/KHR/2023/14/273,Madhya Pradesh,Khargone,Food Poisoning,53,000,06-04-2023,06-04-2023,Under Control,,Cases reported from Village Nagjhiri and,,58269660581685423781.pdf
MG/WGH/2023/14/274,Meghalaya,West Garo Hills,Chickenpox,16,00,03-04-23,03-04-23,Under Surveillance,,Cases reported from Village Rengsangre PHC,,58269660581685423781.pdf
MG/JTH/2023/14/275,Meghalaya,West Jaintia Hills,Human Rabies,01,01,30-03-2023,05-04-2023,Under Control,,"Case reported from Muktapur village, PHC",,58269660581685423781.pdf
OR/CUT/2023/14/276,Odisha,Cuttack,Food Poisoning,114,00,08-04-2023,08-04-2023,Under Control,,Cases reported from village Kanpur &amp;,,58269660581685423781.pdf
OR/CUT/2023/14/277,Odisha,Cuttack,Acute Diarrheal Disease,52,00,08-04-2023,08-04-2023,Under Control,,Cases reported from village,,58269660581685423781.pdf
OR/KPT/2023/14/278,Odisha,Koraput,Fever with Rash,27,00,05-04-23,06-04-23,Under Control,,"Cases reported from Village Chiliguda,",,58269660581685423781.pdf
PB/BTD/2023/14/279,Punjab,Bathinda,Measles,11,00,29-03-2023,06-04-2023,Under Control,,Cases reported from Health facility-UPHC Lal,,58269660581685423781.pdf
PB/JAL/2023/14/280,Punjab,Jalandhar,Cholera,10,00,04-04-2023,08-04-2023,Under Control,,"Cases reported from Bilga PHC, Subdistrict",,58269660581685423781.pdf
PB/MUK/2023/14/281,Punjab,Sri Muktsar Sahib,Measles,05,00,06-04-2023,06-04-2023,Under Control,,Cases reported from Suraj Nagar Malout Null,,58269660581685423781.pdf
WB/NCP/2023/14/282,West Bengal,North 24 Parganas,Acute Diarrheal Disease,151,00,04-04-23,04-04-23,Under Control,,"Cases reported from Village Mohonpurabad,",,58269660581685423781.pdf
WB/NCP/2023/14/283,West Bengal,North 24 Parganas,Acute Diarrheal Disease,103,00,05-04-23,06-04-23,Under Control,,"Cases reported from Village Chak Amtona, GP",,58269660581685423781.pdf
WB/MDN/2023/14/284,West Bengal,Paschim Medinipur,Acute Diarrheal Disease,123,00,02-04-23,03-04-23,Under Control,,"Cases reported from Village/P.O Purunda, PS",,58269660581685423781.pdf
UP/FRK/2023/14/288,Uttar Pradesh,Farrukhabad,Chickenpox,23,00,17-03-2023,Under Control,,"Cases reported from Village Labheda, CHC- Rajepur, Sub-",,58269660581685423781.pdf,
BH/MZP/2023/15/289,Bihar,Muzaffarpur,Acute Encephalitic Syndrome,01,00,12-04-2023,13-04-2023,Under Control,,"Case reported from Village Chhapra Madho,",,3439901971685510753.pdf
KL/PLK/2023/15/290,Kerala,Palakkad,Hepatitis A,13,00,10-04-23,18-04-23,Under Surveillance,,"Cases reported from Kap Camp (Kongad,",,3439901971685510753.pdf
